id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyebrows,Eyes,Face Accessory,Glasses,Hair,Head Accessory,Mouth,Skin
3599,0.2,6170,73.39,https://solanart.io/nft/FDD8VoYG1ZK3NPyKkhfXjmuX5WLzk1YgjG1bkm73vGXd,Grey,Tank Top,Thin,Purple,,,Bob White,,Black Fangs,White
3602,0.5,8302,61.57,https://solanart.io/nft/9rXA4ntxy7xVHyXyWB8337WnKNn2PzRh4haysAxbueYo,Blue,Tshirt,Small,Teal,,,Bob Pink,,Pink Fangs,White
3604,9.3,4032,0,https://magiceden.io/item-details/2HoXxBfShKYEmN6pqCrMQoTY78F6Sx3GUvMx9ZnFCKj7,Beige,Tshirt,Scar,Teal,,,Ponytail Brown,Helix Hat,Pink,Gold
3605,0.9,6165,66.41,https://magiceden.io/item-details/A8ZdoStdTtZzaKPZ43L8TuQFrTYZztieQFvGqXnHoBfT,Green,Tshirt,Small,Purple,,,Ponytail Brown,Top Hat,Black Fangs,White
3607,9.1,1743,2.69,https://magiceden.io/item-details/5zFWFc3TQow6xZCAYBpX7S1HXMc9vrpqTpoUwqQ3cx7u,Purple,Tshirt,Small,Blue,Gasmask Gunmetal,,Ponytail Black,Top Hat,Black,Black
3624,2,9354,42.22,https://solanart.io/nft/GNFmuE861zUoF6sCmbbKYvHP7GBamTLnCSFPsqxhw9da,Grey,Tshirt,Arched,Blue,,,Ponytail Brown,,Pink,Cyborg
3631,1.5,7602,54.47,https://magiceden.io/item-details/649DqPQGh5bi94nbKDFrVjdP3u14dk7DLqhmL1j8KpJr,Yellow Flat,Tank Top,Thin,Teal,,,Bob White,,Pink,Black
3637,0.21,2286,89.35,https://alpha.art/t/DvddJxCkQGd2ndxHHHxHKLwaG6EuYHmeKtHDFbuc8F7h,Pastel,Tshirt,Arched,Teal,Bandaids,,Ponytail Brown,Clouds,Pink,Black
3642,2,6252,55.05,https://alpha.art/t/6QPFgU8stoky4WKMoenzbRkmkZJNhJXo9qsNQWBQ29dE,Grey,Tshirt,Worry,Teal,,,,Top Hat,Pink,White
3653,2,3099,68.09,https://solanart.io/nft/DsZaZ89FAuYeiGACsTjCCHSBfibg41GpFGQNdbxi8JiT,Grey,Tank Top,Arched,White,,,Ponytail Black,Mushrooms,Black,Black
3657,1.8,8923,46.01,https://solanart.io/nft/GjajnyG9fpZGwPUgNfWNgUjr2KBY8mfo71QTxTJkrSpc,Blue,Tshirt,Small,Blue,,,Ponytail Black,Helix Hat,Pink,Black
