id,price,moonRank,💎 score (%),storeURL,accessory 1,accessory 2,accessory 3,background,clothing,facial hair,head,helmet,type
723,2.5,342,80.07,https://magiceden.io/item-details/7Py5TM6qu4kRXpwARFjwgEV1Au4kramLxA9eo9y1Rweb,No Accessory,No Accessory,No Accessory,Blue,Red Track Suit,Beard,No Head,Helmet,Human
725,1,1312,85.35,https://magiceden.io/item-details/93N73KfCdFecUBMQEyxpt26SkQjywBcCX25hSVfh1KYY,Green Scouter,No Accessory,Mask,Red,Green Vardi,Beard,Green Bandana,No Helmet,Human
728,1.5,1411,79.35,https://magiceden.io/item-details/Ho5tJPCYVsu8brhUuiFzPB7oQzNvMeWZn6pbuwZQJ1RG,Neo Shades,No Accessory,No Accessory,Green,Navy,No Beard,Pig Tails,No Helmet,Human
745,0.85,3047,69.45,https://magiceden.io/item-details/DjNJuVHANUWJfP36reQC8Ccjn63zqDtyFkFWY2xb4p1x,Specs,Chain,No Accessory,Pink,Plain Black Tee,No Beard,Orange Bandana,No Helmet,Human
748,2,3813,50.27,https://magiceden.io/item-details/BMMgvhpZbyMK1drvDJWHBkmYUtZnGJut7nkk4RcYwkEx,No Accessory,Chain,No Accessory,Red,Green Track Suit,No Beard,Red Bandana,No Helmet,Human
755,2,936,79.12,https://magiceden.io/item-details/8sPL8hgH7tuP3FwjxTupVNps5YVzZ9DcxpQP98nvfXpv,Yellow Scouter,No Accessory,Cigarette,Orange,Red Track Suit,Beard,Jazzy Hair,No Helmet,Human
781,3,2690,51.53,https://magiceden.io/item-details/5ZqRByJSXztS4GBuTveoNyBbBB5ZMHpGDxTe2PhuMkVK,Earring,No Accessory,No Accessory,Pink,Samurai,No Beard,Orange Bandana,No Helmet,Human
782,2,1763,70.83,https://magiceden.io/item-details/JCkpidkBpHixw5cqih4N4ERnvbauAsxoRqvpb6vuhLGE,No Accessory,No Accessory,Joint,Pink,Black Track Suit,Beard,Red Bhangra,No Helmet,Human
785,1.8,1380,76.67,https://magiceden.io/item-details/7vaJbWPojU6TzLXWugY8g5zfKKU1RnoTiLT9vqoJjD3Q,No Accessory,No Accessory,Cigarette,Red,Red Track Suit,No Beard,Yellow Bandana,No Helmet,Undead
802,1.8,2181,68.64,https://magiceden.io/item-details/8U7nmbRfEguaqjWRKunjb1jcWAYVPGPd4EXikXvroc1H,Red Scouter,Chain,No Accessory,Blue,Blue Vardi,No Beard,Girl Hair,No Helmet,Human
811,2,3204,56.38,https://magiceden.io/item-details/9kY3Srtt7GkaAcCCTF6r2kjj3HC97unPudPi3HoBhpA3,Red Scouter,No Accessory,No Accessory,Blue,Plain Black Tee,No Beard,Green Dupatta,No Helmet,Human
813,2,1953,68.92,https://magiceden.io/item-details/J1TmznSNiK3YFkKJHfpinQtw9eARDNHtJF3hnLy2TUyV,No Accessory,Chain,No Accessory,Green,Blue Hoodie,No Beard,Thai Crown,No Helmet,Human
822,1.44,3419,59.82,https://magiceden.io/item-details/J4W8c8btRwoxEvHHW3JNMTzDJXubPkQ83gQz81qmG3hN,Red Scouter,No Accessory,No Accessory,Orange,Airforce,No Beard,Orange Bandana,No Helmet,Human
