id,price,moonRank,💎 score (%),storeURL,Backgrounds,Body,Eyes,Head,Mouth,Neck
2125,0.4,1755,65.76,https://magiceden.io/item-details/4yoYTTckZn2qkq8irM5ZLXB2dtMDZWtr3WicW5SkUavs,Pink,Blue,None,None,None,Orange_Balaclava
2129,0.2,1194,77.91,https://magiceden.io/item-details/6VAdQZijp411D4zojthqa2J1979fbfXgHmpRxvXKuMR2,Yellow,Brown,Laser_Eyes,Earring,None,None
2137,0.34,766,84.25,https://alpha.art/t/GBjxjxKRwuSrMyNHPVDShcF6BMFHAyFZtQ4Q5UZ5j3zs,Pink,Grey,None,Purple_Beanie,None,Blue_Balaclava
2143,1,16,91.21,https://magiceden.io/item-details/4nUnnD8mprRaQY5p1QkdznehDa6UzZYEAdvmA8tEb6ZQ,Pink,Blue,Tron,None,Joint,Purple_Balaclava
2144,0.3,1686,68.01,https://alpha.art/t/9bp5z7TxamEjF91AMqMexkg9u99KNYM3DxfJWwV5FWT8,Peach,Blue,None,Backward_Cap,None,None
2145,1,893,75.35,https://alpha.art/t/JAx6wBhTRSkH5AtkMTDvbsRKMNyQ7t7NUAeFLrQHHdt,Peach,Blue,Laser_Eyes,None,None,Blue_Balaclava
2152,0.4,897,81.28,https://magiceden.io/item-details/ArRs6GjwSdp3xtd7SDLBobpUUKuuJcnzqTcFY8gT4ebL,Yellow,Blue,None,Earring,None,Orange_Balaclava
2164,0.4,1237,75.13,https://magiceden.io/item-details/797y5PyrTFFYU4ToowNgdtJsWWzLidp2qMafLC6kvGdT,Yellow,Blue,Orange_Sunnies,None,None,Purple_Balaclava
2186,2.9,1643,42.79,https://magiceden.io/item-details/3U4efuKjH23MK5CTNSVMcrgS2rPVvA7RxS5CyRkPvmVt,Blue,Tan,None,Antlers,None,None
2189,0.2,528,89.95,https://magiceden.io/item-details/FbRcVZfk3CtRxH4DNFiANBgtFxwAsirEKYYvTsq6V8ED,Purple,Tan,Tron,Backward_Cap,None,None
2197,10,12,1.28,https://alpha.art/t/5pMruTTPKzy9Nqnu5RaM8FyVSH5Pv84DudYruFpsNYQ3,White,Tan,Tron,Fedora,Pipe,Orange_Balaclava
2198,0.74,211,90.28,https://magiceden.io/item-details/CVu6P3hGQmxAZohfXoV49x1x5jeTgh8JtDGbLWJRKfs5,Purple,Grey,Laser_Eyes,Purple_Beanie,Pipe,None
2200,0.9,1335,68.36,https://magiceden.io/item-details/DWbNQ1uKcBegpboqMTteWEZ38Rz4YCrwydHhk2fzn8a3,Pink,Blue,None,None,None,Gold_Necklace
2208,0.777,1863,60.04,https://alpha.art/t/8n3hGxatTP1FdFj7tfDpE5iua2khgSBGVPmNMv1itBSU,Green,Grey,None,None,None,Blue_Balaclava
2220,3.9,1357,37.96,https://alpha.art/t/D9Ywu9sLRzEd4RxxZTRKpinLngh3CBwGJuiW7pAxTsg9,Yellow,Alien,Blue_Sunnies,None,None,None
