id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Container,Goods,Head,Head extra,Helpers,Joints,Necklace,Neckpiece,Over clothes,Plates,Shoulders,Table,Table decorations,Wrist
4915,14,1771,71.23,https://solanart.io/nft/4sFh9ZjdXaWas8b3qgGw3yeCciTWWKXK2kQ3PTnbDYBE,Night vibes,Retro vest,Treasure chest,Pesky Penguin Club #2,Basic,,Seekers,Red joints,QR code necklace,Red bowtie,,Magenta,,Retro,Gold bars,Gold watch
4953,16,2410,48.06,https://solanart.io/nft/5fGs1UQ2fStngwkN8H8A3PRZdSiNgoSFBkF7Lqg9NnPK,Night vibes,Representative uniform,Coin pouch,Stylish Studs #1,Magenta,Red hood,,Gold,Keycard necklace,,,Blue,Sharp gray shoulderpad,The Grid,Coins,Slick chrono white
5242,24.42,6781,0,https://solanart.io/nft/GUzNbbd59w2Mz8ckWfanLhM3nQtdJJHT8v2vRCYGEdE6,Can't stop me,Grid walker's vest,Treasure chest,Thugbirdz #1,Blue,Ultrawide,Space-time synchros,Basic,,Gray scarf,,Basic,Sharp gray shoulderpad,Round black table,,
5246,14,7394,43.37,https://solanart.io/nft/6DHgZKLb2g9L7bEotKoLg2grFXM4BkteJTNbs7rK3RHr,Deep focus,Retro jacket,Treasure chest,Thugbirdz #1,Blue,,Sentinels,White,,Gray scarf,,Black plates,Sharp gray shoulderpad,Round black table,,
5305,14.44,7922,36.36,https://solanart.io/nft/3nKQrPRVCsddNmqCjQeU7oHpuFEqiN6KFebUfFKKv5rx,Morning chill,,Treasure chest,Jungle Cats #1,Gold,,Sentinels,Basic,Triangle,,Lava coat,Gold,,Round black table,,
5306,21.4,1605,0,https://solanart.io/nft/89tQYFzvLpu6EZviuPabrjq5rbQr7eLAJYNtkdTEbcmd,Deep focus,Quantum jacket,Treasure chest,Meerkat Millionaires Club #1,Gold,White hood,Firefly swarm,Magenta joints,Ring,,,White plates,Sharp gray shoulderpad,Blue table,Gold bars,Gold watch
5382,30,3378,0,https://solanart.io/nft/9vypyHHx3wbm9JwTJvMqrAxEJ7wvNcteBAbtZwA6kv4g,Night vibes,Grid walker's vest,Case,Thugbirdz #1,Blue,Gold hood,Firefly swarm,Basic,,Gray scarf,,White plates,,Metal table,Gold bars,
5547,20,256,18.73,https://solanart.io/nft/E3X3DDFPdCYi2HhX7okgnke3gpYEr6aZrxaSfAL7kGkR,Morning chill,Grid racer's uniform,Treasure chest,SolSteads #1,Blue,Connected triple,Space-time synchros,Basic,QR code necklace,Red scarf,Lava coat,Magenta,,Blue table,Rubies,Gold watch
5621,12,7736,61.68,https://solanart.io/nft/HYKt4D4Z8nn9EtWbFkfqSc2h4w8pQ2SX1wzQtpYdCaCW,Mountain blues,Grid walker's vest,Coin pouch,Grim Syndicate #1,Blue,,,Basic,Ring,Turquoise bowtie,,Black plates,,Metal table,,Slick chrono navy
5673,15,2958,55.35,https://solanart.io/nft/FmSVuDY4kfyx6Mkc6TUBP8VeCrx2dSVNkfa5qzqeEF7N,Deep focus,Retro jacket,Case,Artificial Irrelevants #2,Hot sun,,,White,QR code necklace,Gray scarf,,Magenta,,Metal table,Silver bars,Gold watch
5787,15.9,1795,52.11,https://solanart.io/nft/G8atwdGYfvDuAjMSdicdZjhwS9tKp82pD6WnjjJQt7FD,A city between,Retro vest,Case,Turtles #2,Gold,,Extra hands,Magenta joints,Triangle,Black scarf,,Gold,,Blue table,,Slick chrono white
5790,20,5222,0,https://solanart.io/nft/F5zDefEpWBYs67EdyHmy2Vq597VEzfPVcBSTTKyNWJiM,Can't stop me,,Treasure chest,Thugbirdz #1,Basic,Gray hood,,Black joints,Dogtag,Purple bowtie,,Black plates,Sharp gray shoulderpad,Round black table,Gold bars,Gold watch
5846,13.5,7951,45.61,https://solanart.io/nft/EVjMhCBcfHUGATfvw9RaWq3kGJc8qPdZ3q8fxghVP9Xy,Night vibes,Retro vest,Treasure chest,DeGods #1,Magenta,,Space-time synchros,Basic,,,,White plates,,The Grid,,Slick chrono navy
6001,15,810,65.99,https://solanart.io/nft/5hD85cAdZECP6U3CjG7SZux2EyoLRdSLN2umPGzhzKAz,Deep purple,,Case,Aurory #2,White,Ultrawide,Firefly swarm,Red joints,Triangle,Golden scarf,,White plates,,Retro,Silver bars,Slick chrono navy
