id,price,moonRank,💎 score (%),storeURL,Assist,Background,Cloth,Eyes,Games Won,Head,Kills,Mouth,Rank,Skin,Total Damage,Weapon
610,2.85,3626,58.46,https://magiceden.io/item-details/6oALgpeqLzczjmvNB3LSKFBKZjtM6NQHgusYgGve7pzh,TBD,Cyan,Squid Game,Brown,TBD,Sombero,TBD,Normal,TBD,Normal,TBD,Claws
614,88,2156,0,https://solanart.io/nft/8yaaBTjZfXyAevXxYhA8MYZK1XiYrnqYTEwfAzTg7rXp,TBD,Dark Cyan,Broly Gold,VR,TBD,Rasta Bandana,TBD,Normal,TBD,Normal,TBD,Tentacles
643,2.2,1004,86.25,https://magiceden.io/item-details/FhmfPMgaNRDrhPnx5FvYTMn8o3dZbFmBBkfinGcSnKBQ,TBD,Cyan,Red Jacket,Brown,TBD,Formal,TBD,Red M21,TBD,Normal,TBD,Machine Gun
669,1.642069,2947,76.05,https://magiceden.io/item-details/ASn4Xse59GLrVsS2EVWZmKUe3AkCGh8TTkScBeeaiaTp,TBD,Blue,Green Mage,Green,TBD,Violet Hat,TBD,Normal,TBD,Red,TBD,Stargaze
701,225,468,0,https://solanart.io/nft/5NfpVUcz4KnMH2ARwNXB1RsW8aXyth7yzYRNYm1M2xyh,TBD,Purple,White Krish,Crimson,TBD,Aqua,TBD,Neon Viper,TBD,Red,TBD,Saber
711,5.5,2827,38.45,https://solanart.io/nft/32gNrYRZqBya7g2cX4N9AFBS6HnkrRh1cKxggva56Rzj,TBD,Red,Red Luffy,Purple,TBD,Red Fez,TBD,Normal,TBD,Green,TBD,D16 Alien
731,2.5,891,84.17,https://magiceden.io/item-details/GwkhhBCYUrRfHVuWBdEaoWvQzVqaR3vrYb3rWg4xjGMA,TBD,Brown,White Krish,Brown,TBD,Flames,TBD,Oni,TBD,Purple,TBD,Laser Gun
741,2.9,2435,67.63,https://magiceden.io/item-details/CK8p5JbreXEA33jNq4K4K9DpVEWyc9cYGJ7AP8CgKzSW,TBD,Cyan,Medieval Purple,Purple,TBD,Red Kaffiyeh,TBD,Normal,TBD,Normal,TBD,Grim Reaper
754,2.5,2895,67.9,https://magiceden.io/item-details/DFbrSNh7G7mATemG1Q3sENEQzaseqZ5ca172MtxviinP,TBD,Violet,Dotted Black,Crimson,TBD,Blue Breton,TBD,Normal,TBD,Purple,TBD,Radium Gun
800,5,3889,34.83,https://solanart.io/nft/B8R4yoXmc6QTMQaPwcYPq9xpfQUGUyXHQgMaRafbVmPa,TBD,Purple,Green Kimono,Green,TBD,Violet Hat,TBD,Normal,TBD,Red,TBD,Grim Reaper
817,8.01,2886,12.87,https://solanart.io/nft/9UXCqpp88So39wisP2u8ANV7AmPn7eUig84YUWrmRzay,TBD,Green,Grey-Tee,Rounded Spec,TBD,Brown Fez,TBD,Normal,TBD,Green,TBD,Tentacles
850,14.99,4209,0,https://solanart.io/nft/GtxfXjZuPEcUHdyUg6s3LYLJkMnzVEnThkFjA2iqSR1D,TBD,Violet,Green Sheriff,Blue,TBD,Cadet,TBD,Normal,TBD,Purple,TBD,Laser Gun
859,2.35,3737,62.56,https://magiceden.io/item-details/8ctqgGxgQ2epLG8rqqyoujCf9dPQUdHR7gcHw1W9256k,TBD,Green,Shelby,Purple,TBD,Master,TBD,Normal,TBD,Green,TBD,Dino Thunder
877,2,4415,60.56,https://magiceden.io/item-details/9twAjL7jBktacFwRtuPnoTnvrc4VEM6ZAmhySpPCt9er,TBD,Brown,Green Willow,Band Dark Brown,TBD,Formal,TBD,Normal,TBD,Purple,TBD,Dino Thunder
905,2.5,4326,56.28,https://magiceden.io/item-details/8CUkWcRgCBgHTtZ84JE9Z55JhybsV9r5nHLtyE5GHQFg,TBD,Violet,Black Tamba,Crimson,TBD,Rasta Bandana,TBD,Normal,TBD,Purple,TBD,Igniting Glare
972,2.25,2317,75.09,https://magiceden.io/item-details/HFV6gqe6HQ4J5oKjTb6mbTwKpCP7WkU1fdB4hG3KFRdA,TBD,Red,Red Clinch Rifles,Cyborg Green,TBD,Breton,TBD,Normal,TBD,Green,TBD,Unheard Agony
