id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Fur,Hair,Mouth,Necklace
8268,10,3497,0,https://solanart.io/nft/HrYB4cCu4XQgQU7AdECzzm4JCnGC78dQ4Nf1cCkChaBj,Pixels II,Bored Eyes,Trippy  1,Tall Block Afro,Cute Mouth,Sollamas
8274,2.22,5780,64.04,https://magiceden.io/item-details/9wUZdEz1b6Nj3FSxzMSAXfb2iTECrzXkshABNXKgn2zA,Sribble 2,Bored Eyes,Green,Tall Block Afro,Sherlock pipe,Rogue Sharks
8275,2.5,7328,55.06,https://magiceden.io/item-details/58SP8N9vs3msmdKxdTiuAAD8iej8N28h489XsniwmoiB,Light Green II,Squid Square,Purple Amber Synesthesia,Mullet,Sick Mouth,Geckos
8308,2.77,6278,56.55,https://solanart.io/nft/3QCJSXsjVPqCB7mDQBF8N9CpwiY1mmjyk2cuDhU9Yh5i,Grey II,Alien Eyes,Blue,Default Hair,Vape,Sunrise Rebels
8330,23.99,4134,0,https://solanart.io/nft/qChvh7CFU688nZR6JPkoFTWTDxDB8tUpiCwwiDyu9y1,Matrix II,Squid Square,Night,Dreadlocks,Bacon Strip,Solana Necklace
8339,1.2,6410,71.72,https://magiceden.io/item-details/49zMFRfGk5eC8DycWE8zdbmWhxN1ymnr3reCzzrBN6Ja,Grey II,Squid Circle,Purple Amber Synesthesia,Tall Block Afro,Sherlock pipe,OOGA Chain
8371,5,4385,41.8,https://solanart.io/nft/GHVLUuMzv2UT1b7SQyg9r1sbY7GGBRwKc7rr9m5u6J8r,Green,Flames Eyes,Gold,Lion Mane,Fish Mouth,Piggies
8405,1.85,7118,62.4,https://magiceden.io/item-details/FtWLxPoXtwireqG8LA8JCCPDEq3V9Fz83bcn8bdYBiHd,Grey II,Bored Eyes,Trippy  2,Tall Block Afro,Squigly Mouth,Sollamas
8413,2,6615,62.9,https://magiceden.io/item-details/8AqjuzehMCy1RmMrEsQo6g5MKbTSTtWjqdEvz13DDg3Y,Matrix II,Gold Laser Eyes,Dark Brown,Mullet,Sherlock pipe,
8429,101,4383,0,https://solanart.io/nft/2o4LXysyzQa7Mt4mnjT4odEXvTMtnmVxkGLiHr2WS7iT,Nude Beach,Squid Circle,Trippy  2,Default Hair,Squigly Mouth,Rogue Sharks
8437,2.5,6287,59.21,https://magiceden.io/item-details/DxbPoZvGgNtaQ8jNiN3LXj6x6MceqiDXsiGtkm83UMvw,Light Green II,X eyes,Trippy  2,Mullet,Sherlock pipe,Solana Necklace
8446,2,9588,51.04,https://solanart.io/nft/8t1hLgYJDDwg66JUsSeUMfLGVSdztzgCWkdpxusURCLc,Blue,Blue Laser Eyes,Dark Brown,Default Hair,Bacon Strip,
8481,1.5,8596,60,https://magiceden.io/item-details/8b8pyGPWs4FX28rxQYAJLuPNPmZdpCrPKrabnfcqzcKx,Blue,Double Eyes,Dark Brown,Dreadlocks,Bubble Gum,Penguins
8498,2.25,2601,76.42,https://magiceden.io/item-details/APyfP5dc9MUu7hfmnmgPbrMY9NorWwAQR4rHkJRqSnQH,Orange,Squid Triangle,Circles,Curtined Hair,Fish Mouth,Piggies
8523,2.5,9227,47.48,https://magiceden.io/item-details/HoACDXfPop6PNTmbnbGJHJz3usyXPUzafr3fArAwxnNQ,Blue,Squid Square,Cheetah,Dreadlocks,Sick Mouth,Piggies
8551,2.5,9382,46.86,https://magiceden.io/item-details/7RW65FDALWgdqk8jawfdFMp4216ZFMgiSmGtauJZ5iCi,Blue,Flames Eyes,Dark Brown,Mullet,Sherlock pipe,Geckos
8578,1,7952,67.57,https://magiceden.io/item-details/DdZ1JGonaH2uoixKuva6qHXihDEf1kxAigGwhmGzmQDj,Light Green II,Robot Eyes,Dark Brown,Dreadlocks,Sherlock pipe,OOGA Chain
8595,5,8333,26.05,https://solanart.io/nft/9Nqs8x2tgF8VVtcNuvwr1pzjFh4QYTAzfyJ6WHzcu92c,Blue,Wink Eyes,Red,Dreadlocks,Bacon Strip,Solana Necklace
8597,1.8,1807,84.09,https://magiceden.io/item-details/AHKYQ6QCjVZhFvA5VcAuST75omfS5QBPu3WAWiLZMobr,Dark Pink II,Zombie Eyes,Camo,Afro,Insect Mouth,Geckos
8598,10.99,7793,0,https://alpha.art/t/8TEv2PaA3NQHwgoAAmV3EdJ9tbd73q1u7DpYiezndRGf,Grey II,Squid Circle,Trippy  1,Default Hair,Squigly Mouth,Penguins
8600,5,633,56.77,https://solanart.io/nft/CUM53njZSCcM1ZW87WFtp3p5Jo3M8ujYGXmfE8vyLbPQ,Stained Glass II,Zombie Eyes,Cream,Afro,Mouth Juul,
8603,2.19,2009,79.38,https://magiceden.io/item-details/6cnPFs2d7z7Kgzzhu7NhhJkKk1r6ngmkKcY6ZUNW6xe7,Orange,Squid Triangle,Blue Camo,Curtined Hair,Straw Mouth,Penguins
8623,4,7346,39.99,https://solanart.io/nft/CSwD4YzRR8F7pPvweqjw9wjF37afEAKfgNksz7rdRomU,Grey II,Hypnotic eyes,Rainbow Synesthesia,Default Hair,Squigly Mouth,Rogue Sharks
8635,169,5092,0,https://solanart.io/nft/DEG6SGaV2DM9XWYqkf3QU96uruz2Ra5CdNd6bUo7999o,Pixels II,Hypnotic eyes,Solana,Default Hair,Squigly Mouth,OOGA Chain
8640,6.9,5977,16.45,https://alpha.art/t/8QbmhajYf3RJvc7aKfCTgWbV2NHUNNhDSVkrGiXNguBY,Green,Closed eyes,Green,Lion Mane,Robot Mouth,OOGA Chain
8697,1.3,9629,57.88,https://magiceden.io/item-details/AGY2cmSUrBB2NmRQKxuQMEGVwzMEYgmSoEn1yeB1QTes,Blue,Flat Eyes,Green,Dreadlocks,Sick Mouth,Piggies
8698,9.9,3334,0,https://solanart.io/nft/ADWwMY3xGSDZkTAkmHsGjXT8GX2fcNV8LjT3v7MDGokW,Nude Beach,Gold Laser Eyes,Tiger,Tall Block Afro,Squigly Mouth,Penguins
8700,1.2,8845,62,https://magiceden.io/item-details/89BxpmyCDYsFDMUzAScZACZzAPUrVqHkRn78JrWje6sk,Blue,Plus Eyes,Dark Brown,Dreadlocks,Fish Mouth,Rogue Sharks
8711,1.1,5150,77.75,https://magiceden.io/item-details/ChzQD61SJYnPwNSoyNco4xoN1Z3otvuKRLbMZGViH8Eb,Matrix II,Plus Eyes,Cheetah,Dreadlocks,Sick Mouth,Trippy Bunny
8727,2,3239,76.38,https://solanart.io/nft/EgbZqFvy6Y6gmYnpn9mgZ4P9ujNK2G4re5NriMQVnHop,Green,Justin Sun Eyes,Gold,Lion Mane,Sideways Smile Mouth,Trippy Bunny
8728,2.1,8213,55.53,https://magiceden.io/item-details/6W2j1amSTf3o16BK2fqvZ9tbprW5PbeAu1kEqhrrhy55,Blue,X eyes,Purple Amber Synesthesia,Mullet,Bacon Strip,Piggies
8731,25,9223,0,https://solanart.io/nft/H47hgs6rptGymZgN2bPGMVzArY9Qiz8b1GZTXzGu9ck2,Blue,Flat Eyes,Dark Brown,Dreadlocks,Sherlock pipe,Sollamas
8752,1.89,4084,74.1,https://magiceden.io/item-details/6rrr9HYLBGSKu7FVWWtN5RaSSGHL8bui2XLp3JR6QYKf,Yellow II,Googley Eyes,Camo,Afro,Insect Mouth,Solana Necklace
8764,10,1177,4.6,https://alpha.art/t/2eS9wqsos1U1irXVN4QkdhvhhxvCKJ6AYcUaYxZNsUW8,Pixels 2 II,Justin Sun Eyes,White,Lion Mane,Cute Mouth,Trippy Bunny
8819,1.96,7274,60.67,https://magiceden.io/item-details/BvLEtBvkgH8mtrSWTYkAD1o8diN9HUqnnCgrfdX9nvcV,Grey II,Squid Circle,Trippy  2,Default Hair,Cute Mouth,Turtles
8826,4.5,3817,49.07,https://solanart.io/nft/GJAEKV9q4WTqGDJjKCDRx7Kv1ArUMcHpSyS6Nu7qwnw1,Green,Closed eyes,Gold,Lion Mane,Robot Mouth,Trippy Bunny
8830,11.2,2939,0,https://solanart.io/nft/A2NBmUe4FmFHuUh4Zqq2rwWpmsBri1rYAf1jZgArUEGo,Green,Heart Eyes,Alien,Big Afro with Comb,Robot Mouth,Sunrise Rebels
8836,7.5,580,31.99,https://alpha.art/t/2oFfqVvRDqhAHovLetYxCrPCKBUexEkxyaUA8ecdHYB4,Sribble 4,Googley Eyes,Purple Amber Synesthesia,Mohawk,Mouth Juul,Piggies
8860,1.3,7839,65.02,https://magiceden.io/item-details/254sjXqdLK9cs5hguerZepWV7zChGFoHtvRF6Y3kPWa6,Light Green II,Plus Eyes,Dark Brown,Dreadlocks,Bacon Strip,OOGA Chain
