id,price,moonRank,💎 score (%),storeURL,Background,Body,Earrings,Eyes,Face,Hat,Head
2755,2.9,1647,74.81,https://magiceden.io/item-details/7jJKMwdL4mHVwtqmtdMwY4BLoDVN6rB8D9RDhnhdYoTy,Pomegranate,Wizzy,Silver,BlindfoldBlack,ThugzBunny,BandanaCrip,Night
2758,4.85,1825,53.88,https://magiceden.io/item-details/FHVz8B6Ea93GbMNwd6b8K1dYMLf3fenTbxk2BjCQ4Hi5,BabyPink,Saiyan,None,CyberSmile,ThugzBunny,Burger,Clay
2760,44,782,0,https://magiceden.io/item-details/3EPGV5xr2jAVirQge4dV6emJMzZLWwgY1RsTMBMFhghW,Namek,Kong,Dagger,Steamboat,BaconBoar,BandanaCrip,Clay
2763,3.9,1128,68.96,https://magiceden.io/item-details/Erowcw6NtHufHQ43R337i2eot6w8NyHgSq2EbqecE6FZ,DustyBlue,BoxerPink,None,Tycoon,ThugzBunny,SaiyanHair,Night
2765,2.6,1697,77.4,https://magiceden.io/item-details/2JBT1JGLvDJWyf2w73owUtC3RJXFWZfSmoN5kpijouqo,Acid,SkullShield,GoldPair,CuriousJorge,DingDong,GoonGoon,DustyBlue
2772,4,2209,59.3,https://magiceden.io/item-details/ExdPB4qyKqvgL9dm8epmPew6ws32o7RznxyzXCx6cFkC,SapphireGalaxy,Plug,None,ClassicToon,BaconBoar,ShellGreen,Night
2773,3.15,986,77.6,https://magiceden.io/item-details/ABSiQZ7d9KEWEsKWxiH8ziKgQHHqePCeJZ9fMFXP8vyr,Lavendar,Wizzy,Silver,Unamused,RuffyDuck,DemonLoredRed,RedHead
2774,4,2556,56.52,https://magiceden.io/item-details/D1eyMCccGYcEUnxkvnAAjsAMF7apScWgtVUfUkUxYR8R,Mustard,StreetPirate,None,FeralEyes,RuffyDuck,GorgonJade,GrapeFlavored
2776,5,370,64.04,https://magiceden.io/item-details/4Cwq49ieynHdkeNUhSCBMtmC5jm9vaTzt718wbF3pPRU,Acid,Bat,Bone,Over9000,RuffyDuck,Crab,RedHead
2779,5,4855,28.11,https://magiceden.io/item-details/22eZcti4iKQqmbGqNPgE7dH7KeMoa9LuANikmWM22zqx,Blue,DeathAngel,None,Steamboat,DingDong,BandanaBloodz,GrapeFlavored
