id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Headware,Item,Mouth,Outfit,Skin
3970,2,6527,54.82,https://solanart.io/nft/C6ebzdwmhaWaXq7aR4Gw1LrK7UXRScgPbqX7FbYYfEQJ,Blue,Brown,Blue Singular Optic,Fan,Gas Mask,Black Tshirt,Blue
3981,2.4,6129,52.61,https://solanart.io/nft/3igx2N74o71RYPVMfv5M8SmZB8gt1rKDayguP5Sq3E3B,Blue Rain,Ghost,Black Ski Mask,Lantern,No Accessory,Bloody Robe,Mud
3984,1.5,4031,71.06,https://magiceden.io/item-details/9Ceqx56yi7a7FBqkf4szsgpKfwvKzLSgGT4DbmhzpYqr,Cherry Blossoms,Yellow Hypmotised,Boony Hat,Assault Rifle,Gas Mask,Blue Flannel,Green
3992,3.68,2304,57.03,https://alpha.art/t/23pZ8kvRU2eSFqeLabKQKKvvtvBmnaZZqUATm1zP855n,Blue Neon Kanji,Blue,Orange Ski Goggles,Modded Naginata,Chewing Wheat,Red Samurai Armour,Spirit
3996,1.1,8192,56.33,https://solanart.io/nft/FFwPKTWA5zbvjdAY5cHnuES17hd53vS7pcCyMCWfZzAY,Light Gray,Ghost,Black Ski Mask,Naginata,No Accessory,Hawaiian Shirt,Blue
3997,0.99,5780,68.28,https://magiceden.io/item-details/5wUZesPJFmTA1hZ7Jnz2Lz3DSSTMwEZ5NEd6fEsuYktz,Light Green,Green,Red Visor,Umbrella,Cigarette,Bloody Robe,Blue
3998,7,5772,8.22,https://solanart.io/nft/FLMk5MQLJy5jBeGMHxaW28xEXmawfKhVDv48bfRcekkg,Light Gray,Brown,Eyepatch,Lantern,Bamboo Bong,Bloody Robe,Blue
4003,2,1322,78.25,https://magiceden.io/item-details/9Afhy9NGSA5rTxwNUBwKzzYEkgjHGWohy3VE8Q8HhfHU,Leaves,Brown,Blue Ski Goggles,Mantis Blade,Cigarette,Tracksuit,Demon
4004,19,3,0,https://solanart.io/nft/CAx9EpuJokf4GqXopsXrrdJWWCqdDHKhwyDytfWKsG8G,Storm,Green,Blue Samurai Helmet,Golden Katana,French Mustache,Shirt and Tie,Green
4007,1.3,7786,56.16,https://magiceden.io/item-details/z8f9qZqHjmmMnGkASB5uSVFm7E7PzNyiMMfvNbS8JV2,Yellow,Stoned,Helmet With Antlers,Rambo Dagger,No Accessory,Tactical Vest,Mud
