id,price,moonRank,💎 score (%),storeURL,Background,Belly,Body,Decoration,Eyes,Flair,Head,Mouth
946,0.19,1537,80.95,https://magiceden.io/item-details/GMgnB7c1g6k74fDMPA4kUNEdFJUZg1WWPE8ZKYL8sVYu,Pink,Heart,Grim Teal,Orange Halo,Hurt,None,Cat Pink,Surprised
972,0.23,2396,70.24,https://magiceden.io/item-details/4L3z3DELFhBJ3W9Q1QC7SXewhD8pbfgCKna3gUoy787U,Purple,Heart,Concerned Teal,Orange Halo,Exhausted,None,Dog Pink,Surly
999,0.19,1181,85.22,https://magiceden.io/item-details/qkyWU2sPd7cMgVaM8YEYBZWstz45c7xPfJhnSSMzaRb,Pink,Cell,Concerned Pink,Orange Halo,Hurt,Mouth Scribbles,Dog Pink,Cheeky
1078,0.35,365,93.42,https://magiceden.io/item-details/7J4o1GrkQ1JYmNgYmwKLHzdikWGpjS2LppU5ZJ91syuX,Orange,House,Shy Pink,Rain,Surprised,Mouth Scribbles,Cat Pink,Sad
1090,0.35,642,90.09,https://magiceden.io/item-details/2KgQr3axaDhvX3iC21rZiCPmMDaAXAAWcwzAfCb3kEuF,Teal,House,Grim Pink,Scribbles,Exhausted,Mouth Scribbles,Bunny Pink,Happy
1107,0.22,339,95.03,https://magiceden.io/item-details/7qDQXSxK7hfh6ZjP1YPnoUgFcuiDA3r1MjMUM3Qyao8N,Grey,Cloud,Concerned Pink,Rain,Panic,Tornados,Bunny Pink,Bored
1164,0.3,1866,75.9,https://magiceden.io/item-details/Fv3LM9z1tABb3nhJpuKMk8iZD2aHDjf6g2tw4Tqmhz4A,Orange,Cell,Grim Teal,Rain,Exhausted,Tornados,Cat Pink,Sad
1195,0.17,2252,72.57,https://magiceden.io/item-details/2tvbh6jdqA77zFKDxnjMbhH2dUZGM16CkkWLEe47XmAr,Green,Heart,Concerned Pink,Pink Flair,Happy,None,Bunny Teal,Cheeky
1255,0.37,869,87.17,https://magiceden.io/item-details/2qTpLrcCXWCmm6E5opckCiX7Z44LZdWZSgfMLefNesqf,Teal,House,Concerned Teal,Flames,Worried,None,Cat Pink,Hungry
1268,0.27,3008,62.49,https://magiceden.io/item-details/EnuERbDxBp4urPCVjNen8M5P1F9KXFQ4o4ZaJULLQRrx,Orange,Lightning,Concerned Pink,Rain,Panic,None,Dog Teal,Hungry
1324,0.15,2885,65.17,https://magiceden.io/item-details/CoKv9ztxcFg8dy4T2a1Nw66VRoaQ7snLdGbMpHBuheW9,Orange,Heart,Grim Pink,Orange Halo,Hurt,None,Dog Pink,Bored
1334,0.2,2863,64.93,https://magiceden.io/item-details/6NQGZuWJAcWo7e1qz4WJF8NvnMq5ufLVTHJpzHzMH96j,Teal,Heart,Grim Purple,None,Happy,Mouth Scribbles,Bunny Purple,Happy
1341,0.2,1761,78.16,https://magiceden.io/item-details/8BsZCbnNMCzHchyGcH9kdmqt6MLykGLvh2CUbiTKUaTG,Green,Leaf,Shy Purple,None,In Love,None,Fox Pink,Sad
1352,0.3,2906,63.41,https://magiceden.io/item-details/4Jd6239Md1Z2u4gPaSCZjbbvZZJ8nEtxTHCqqXYs4f2a,Teal,Heart,Grim Purple,Pink Flair,Exhausted,None,Cat Purple,Hungry
1400,0.22,2363,70.73,https://magiceden.io/item-details/12DJa92oNx9dTRAuHAMRkZy79Hqm7bBui4n1y6ucBLi8,Orange,Heart,Friendly Purple,Pink Flair,Happy,None,Bunny Pink,Cheeky
1421,0.2,3239,60.42,https://magiceden.io/item-details/E2QXkjB59bbUEjSS6cvooxQwjpq3KCuuzemouk34qW4B,Orange,Heart,Concerned Teal,None,Happy,None,Dog Purple,Hungry
1455,0.35,825,87.9,https://magiceden.io/item-details/J5YoZF3AwuGLSKNS3CrJvDUw27kQk2PAW233SFKdwEs8,Teal,Leaf,Grim Purple,Orange Halo,Hurt,None,Cat Teal,Spookyz Fangs
