id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
3374,1.99,4013,77.49,https://magiceden.io/item-details/4VxztoD1Z4PBN2vnyM2KBLCRDph18LXbapah9WHUx6uF,,Lucky Rainbow Aura,,#ff8599,,02,14,06,Black Running Shoes,black,07,,Brown Pants,02,catfolk,05
3389,2.99,5268,62.45,https://magiceden.io/item-details/8YUMVVZY6gouePyfuFjj166TuP99FRDrEkq5Gg425wwv,,Pink Fairy Wings Aura,,#00d7f2,,03,10,04,Red Flip Flops,black,37,,White Leggings,01,orc,
3416,1.9,6785,67.26,https://magiceden.io/item-details/7s4gtfCGtwa3PyFzk6gtNq3H6Wm6AQF1ZQWLPfhWaP9x,,Falling Money Aura,,#215ae8,,01,,03,Black Skate Shoes,blonde,14,,Tiger Stripe Leggings,02,orc,
3432,3.499,8067,46.13,https://magiceden.io/item-details/FFYtPG4qQ2np3eWsBuHYLLuByh6JfjwzkvMzLut2RcpA,,Red Leaves Aura,,#9641ff,,02,02,18,Red Flip Flops,red,26,,Red Baggy Pants,02,elf,
3465,1.88,8946,58.79,https://magiceden.io/item-details/6aBrPGyMPtRBYq83d6YqP9DLXi3g9yDKwX1WUG3EDibf,,Yellow Leaves Aura,,#87fff3,,03,12,11,Yellow Boots,blonde,14,,Yellow Baggy Pants,03,lizard,03
3467,2.39,9965,49.6,https://magiceden.io/item-details/BitRjoRyTX6RY3gTeRDC3rp8KfnuZv2DurFQxzDNbije,,Party C Aura,,#215ae8,,01,01,02,Purple Sneakers,blonde,37,,Gray Shorts,03,orc,
3481,1.97,7578,63.38,https://magiceden.io/item-details/EzmibBHFG5BQvuFo51bcM2CByZYy29erXYng1EKLTYvN,,Balloons B Aura,,#ffd864,,01,12,14,Tall Blue Boots,brown,04,,Blue Jeans,02,human,
3492,2.5,3770,73.37,https://magiceden.io/item-details/J8DYLPNikAj9RRB1ZJbCiyZXkmB5nvsZpbPnNnaArzBd,,Rainbow Coins Aura,,#ff99ef,,01,12,23,Green Sneakers,blonde,36,,Green Miniskirt,03,lizard,03
3501,3,4975,63.53,https://magiceden.io/item-details/EgpPBsvF44pcXzEZp89Jq7Z9DcJfjFFRr7oKEjvfQKJ3,,Party A Aura,,#ffd864,,02,07,16,Brown Boots,grey,11,,Black Pants,03,catfolk,05
3526,3.7,NaN,0,https://magiceden.io/item-details/HDpePRtjxmStTgXqAmL6CS9LeE5zPHd7kX2r5V1rH8m2,,,,,,,,,,,,,,,,
