id,price,moonRank,💎 score (%),storeURL,Biome,House color,House number,House style,Material,Openings color,Openings style,Precipitation,Roof color,Roof style,Sky,Street name
286 Delray Circle,200,1552,0,https://solanart.io/nft/AAPtyjds1e8vCM97kN6LBuEqiXnitcNciARTrQVJcMdR,Beach,Red,286,Modern,,Blue,Shuttered,,Yellow,Skylight,Night,Delray Circle
294 Pico Street,66,347,0,https://solanart.io/nft/DtsMRpcmVAF1u9trhoWReD1DRxff6XaRddjMrZujzYWK,Treehouse,Blue,294,Mansion,Vines,Lavender,Rounded,,Red,Tin,Day,Pico Street
299 Bit Boulevard,40,1260,0,https://solanart.io/nft/Esr3mgM5A2oxKUfR5hnzzX7pAWJh1enK8QsDxB17BRSW,Mountain,Yellow,299,Modern,,Blue,Rounded,,Mix,Grass,Night,Bit Boulevard
300 Bit Boulevard,47.990002,463,0,https://solanart.io/nft/HNLVwBojTEZb6tY2QdUuXWv7tLToiLVW8uuX55fUYciC,Beach,Red,300,Art Deco,,,Occult,,Mix,Food,Night,Bit Boulevard
304 Bit Boulevard,50,465,0,https://solanart.io/nft/6mhspWAabvaYBsngVn74574NnwB9MtkuEfV9rwxdCXsn,Field,Lavender,304,Modern,,,Crystal,,Yellow,Tin,Stormy,Bit Boulevard
319 Bit Boulevard,50,370,0,https://solanart.io/nft/EctCkfZBSsCzufbfSgh7TpPAmUj6wkMd2iHE5NmVcEbS,Desert,Blue,319,Cottage,Brick,Green,Shuttered,,Green,Haunted,Sunset,Bit Boulevard
325 Grime Lane,54.200001,997,0,https://solanart.io/nft/8P4FydBR94YG9QWQQKMxxwc1TuppWeCP4J5aYEFLrSKD,Woods,Yellow,325,Art Deco,,,Occult,Rain,Yellow,Shingle,Day,Grime Lane
329 Delray Circle,37.5,527,11.47,https://solanart.io/nft/GpKSj8dktV12ZEr82Ttsq1nXAvsaEJPMPrUP3Vg2CGaw,Underwater,Lavender,329,Cottage,,Lavender,Shuttered,,Blue,Tin,,Delray Circle
330 Pico Street,37,785,12.29,https://solanart.io/nft/EvPLRJVPkRKc2sLDUapdrTRY3zxrJBeR5nNbMbtWXWpC,Underwater,Green,330,Modern,Brick,Blue,Rounded,,Green,Tin,,Pico Street
331 Grime Lane,60,1652,0,https://solanart.io/nft/32DerWcoMHoshaEM4jP1nA57sXhJLtZ25V4FNV5YbQzu,Treehouse,Dark green,331,Cottage,Brick,Yellow,Shuttered,,Red,Shingle,Day,Grime Lane
