id,price,moonRank,💎 score (%),storeURL,Arm,Background,Eyewear,Fur,Headwear,Mouth,Neck,Outfit
885,3.3,3000,49.42,https://alpha.art/t/H7HkWwEhREvUme165BADBpsXCRfoYpxuLKkfzwmUvCRZ,Black Wrist Band,Acid Bright,Ski Goggles,Zombie,,Smiling,,
940,1.99,1160,75.02,https://magiceden.io/item-details/CBpFNWPyy1W1eg4EuvLNGwAfHgTHrXt395oUWzdUQuJC,Coconut Drink,Halo Gum,Rasta Sunglasses,Ice,Rainbow Hat,White Mustache,,
954,1.5,457,84.7,https://magiceden.io/item-details/98BVNSD1fHC8aMGcTP5sp9qkmXAuLJXhochjR2EKwoBy,Red Yarn Ball,Halo Gum,Eyes Laser,Gray,Monopoly Hat,Tongue Out,Gold Necklace,
964,1.5,4487,57.32,https://magiceden.io/item-details/BfEWovLuHgS1FXgkZuksGeoE1iPRCchgj2njN8DDepDV,,Halo Black,Eyes Happy,Ginger,,Tongue Out,Red Bow Tie,Tuxedo
969,1.2,3945,64,https://magiceden.io/item-details/A9RqaCMVA4yTxXUqPVhh53QPTudWP4cQhjddBfdyGL9p,,Halo Pink,Eyepatch,Gray,Clown Wig,Smiling,,Box
991,0.9,4284,64.7,https://magiceden.io/item-details/EdVpjDXKiHAsQYH3WcY2ggiJ5XBnM7p9DMLvTLyFUJzV,Flower,Gradient Sunset,Wink,White,,White Mustache,,Hawaiian Shirt
1013,1.5,4165,59.51,https://magiceden.io/item-details/79vbQXH4dcXNBSLrfxMnw8QMJqX2nyjZWTjbCmRkMzFR,Red Yarn Ball,Halo Pink,Eyes Normal,Gray,Cowboy Hat,Tongue Out,,
1031,1.1,1851,79.23,https://magiceden.io/item-details/CVq4Lc5yUZ32tQU67ucXwq9RASbuVpBsb5DfLZcxkg1Q,Red Balloon,Gradient Aurora,Wink,Rainbow,Birthday Hat,White Mustache,,Box
1032,1,915,86.58,https://magiceden.io/item-details/5Bdv2KK9RWScpJkm3pRHvZtfh4iTd12bHA5i1ggfr2Ro,Blue Yarn Ball,Halo Emerald,Rasta Sunglasses,Red,Astronaut Helmet,Big Smile,,
1043,1,4271,63.79,https://magiceden.io/item-details/3fDxqGX5zRQ94XUHWZNXGfhBmsTm7KR2gBoNmBrtRhvi,Noodle Bowl,Halo Purple,Eyes Normal,White,,Tongue Out,,Astronaut
1044,0.6,241,95.16,https://magiceden.io/item-details/APEuuAq6ZQTFKxXx65595zrTDMDFJMoUzyUaika8PBbz,Flower,Halo Orange,Eyes Happy,Gray,Birthday Hat,Surprised,Golden Bow Tie,Tuxedo
1051,1.2,3115,69.64,https://magiceden.io/item-details/81uQESjmNpikW3Qv9q1cUjmdJwxwwaRUhHvsLkecVqBQ,,Gradient Chartreuse,Eyes Clown Happy,White,Turban,Blushing,,Box
1052,1,3459,69.3,https://magiceden.io/item-details/8iggaPtLmFSuYtAiDvXXM3GVHpKYUwY4Cx5kfbqZKDwD,Bag Of Cash,Halo Ice,Round Glasses,Rainbow,,Tongue Out,,Hawaiian Shirt
1084,1.5,2097,73.55,https://magiceden.io/item-details/Aa5wYyVbcARt8SmrwtFW1DHQNdph9fULEJVJiTQfbmM6,Blue Balloon,Gradient Chartreuse,Round Glasses,White,,Smiling,,SpiderKitty
1085,1.5,696,83.07,https://magiceden.io/item-details/ap5yxBaXh5tgXM7vRRaAYTCUwmEu61B7XZ9c4hRNoXG,,Gradient Solana,Eyes Happy,Solana,Rainbow Hat,Bubblegum,Red Bow Tie,Tuxedo
1087,1,2550,75.48,https://magiceden.io/item-details/D3pazCzdeowzckFpYtnWK92FfTPCSkJLxvWqfDkEB7zk,Fishing Rod,Halo Zombie,Troll Sunglasses,White,Cowboy Hat,Smiling,,
1114,1.5,579,83.87,https://magiceden.io/item-details/2xKMePPm8gkWaiTg6dwA4mSq1S1BLZMiGhUREpdrSjNn,Martini,Halo Purple,Wink,Red,Fishing Hat,Blushing,Red Bow,
1147,1.5,1514,77.51,https://magiceden.io/item-details/q5y5bR33NxQTtDnnmJsHw5MEEFA8rK2nDCwKa8A3f82,Coconut Drink,Halo Purple,Ski Goggles,Gold,,Surprised,,Hoodie
1152,1.9,3354,61.01,https://magiceden.io/item-details/CwaDaRHv8q8VqMRuKJUdD6qECfxf1LHydVv7KsZbEe23,,Halo Black,Eyes Closed,Solana,Monopoly Hat,Smiling,,Hoodie
1154,1.8,1771,72.77,https://magiceden.io/item-details/2KhtBGBsedsoy713D8rziZZN5GGiSMDNg84iqoBgj1gZ,Noodle Bowl,Gradient Aurora,Black Sunglasses,Black,,Smiling,Blue Bow Tie,Hawaiian Shirt
