id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Eyes,Head,Mouth,Nose,Skin,Top
1294,4.8,1802,60.81,https://solanart.io/nft/DXtyVZqoiVXhmZmw2tkQTxzQC7A5XtCpSGNMhYkMgrnk,Binoculars,Red,Blue,Fireman,Pipe,None,Blue,Red Puffer
1385,4.5,2302,60.15,https://solanart.io/nft/J4oSXtesLfM11VB58MqPkjsf7YPjCUHMBbdXNDYvtoEd,None,Blue,Dragon,Pirate Hat,Stitched,None,Albino,Yellow Tracksuit
1435,3.5,2902,65.76,https://solanart.io/nft/6R9HsSoGK75hCksgge3hFCXwXh1yHYrvmprC4BS2nZpp,None,Yellow,Aviators,Chef Hat,Flower,None,Blue,Solana Hoodie
1452,4.5,2689,57.32,https://solanart.io/nft/Bcps18vG4EaKoutLFvgUNYfAEk12oDR2Ho7VTExvWxXq,None,Orange,Solana,None,Blunt,Stud,Albino,Fur Coat
1495,3.39,4228,57.16,https://solanart.io/nft/23ornmngNDRKH7McLbbCaJGEEVehMyZLzZbjoPZdenGw,None,Savanna,Red,Safari Hat,None,None,Brown,Blue Tracksuit
1539,4.4,3145,54.98,https://solanart.io/nft/9EVnjE17SQGghcEh2xo7PQjVUazZKGTst8tBRnxEFYW2,Bone Necklace,Yellow,Blue,Fur Bucket Hat,None,Stud,Blue,Cream Puffer
1652,4,1078,74.11,https://solanart.io/nft/5JU2yGJvsrJxaD9YioEYgxRjhhvp24PXGiCSNqe2dmiJ,Camera,Blue,Green,Unicorn,Pipe,None,Black,Blue Puffer
1706,4.5,3673,50.12,https://solanart.io/nft/3HoRTiCfHYBxCS6WWKCPMHtPp6b4CXSP2yW3ZjdxhSeW,None,Matrix,Camo Vipers,None,Bone,None,Base,Black T-Shirt
1739,3.5,4310,55.46,https://solanart.io/nft/H6xhLpiwFxoEutUeGnjKMGHA3miVJfCc673iDbsUwjLF,None,Blue,VR Goggles,Black Bucket Hat,None,None,Blue,Camo Jacket
1788,3.7,3153,61.93,https://solanart.io/nft/CGifarnfDVGDrqVKwtHzVBDgtgw8wsGeB1sFbjSVJLGp,None,Grey,Steam Punk,Plaid Bucket Hat,None,Ring 2,Base,Red T-Shirt
1846,4.5,4105,46.96,https://solanart.io/nft/yLirVQRHiG75AHBiVszivQJ9HQMphiBRy2npTChR27N,Camera,Brown,Blue,Plaid Bucket Hat,None,None,Base,Tank Top
1866,3.33,5274,50.11,https://solanart.io/nft/DcaVDfDiajrZGxHjKBtXrqeKYSkKKbK2aSa1aRGmTFqU,None,Brown,White,Blue Fitted Cap,None,None,Base,Green Puffer
1907,4.49,4038,47.55,https://solanart.io/nft/CSXuu4EQnXGbFShHjTCL1EniXyAvMdPLsTxMkb6DueU,None,Matrix,Aviators,Sombrero,Blunt,None,Zebra,None
1947,4.7,3084,52.43,https://solanart.io/nft/56xrtGPX4PLvkMUpH7RFiBHoNpnkqCtu2eZH7n13MCe3,Camera,Brown,Green,None,Pipe,None,Purple,Cargo Vest
1996,3.95,3551,56.51,https://solanart.io/nft/7McnpJ6ABbmNCqAoxxjvLSRDbxzXuo1oJbfJJy2uR7No,None,Red,White,Safari Hat,None,Stud,Zebra,Blue T-Shirt
