id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Ears,Extra,Eyes,Headwear,Horns,Jewelry,Outfit,Skin,Tattoos
4153,2.25,4864,60.94,https://magiceden.io/item-details/8UK7doaMLvAfQ4Z1mBkHdf6SVJsvjp7oHrVQa6rjhrPd,None,Cream,Big Hoops (Single | Silver),None,Normal,None,Curved,None,Puffer Jacket (Teeth Print),Black,None
4157,2.75,2556,72.57,https://magiceden.io/item-details/7wmTocQhtrSrFa6eph4KGYYQ14t259zDaD5RUfoA6Z1Y,None,White,None,Feather Wings (Red),X,Oversized Beanie (Blue),None,None,Puffer Vest (Cream),White,None
4160,2.98,2297,72.13,https://magiceden.io/item-details/4yoCTM56d2adceoJV1vhoddXtA68KA8gC3MDVpUoaffZ,None,Cream,None,Feather Wings (Black),Normal,Dad Hat (Mint),None,None,Puffer Jacket (Paint Print),Bronze,None
4173,3,2395,71.22,https://magiceden.io/item-details/CfUxkbJwMMmMVYmpjBPWfGbkkXUBSRGX5SSZGzSFHtyN,None,Black,None,None,Small Round (Black | Silver),Beanie (Blue),None,None,Suite with Tie (Gold),Bronze,None
4182,3,1126,80.37,https://magiceden.io/item-details/DKDvaWrsf83EnZ6zUAaf5ZZBMrpioGr9Qj2WFWGhAos8,None,White,None,Feather Wings (Black),Small Round (Black | Gold),Snapback Backwards (Blue),None,None,Lumberjack Shirt (Blue),Blue Gem Stone,None
4189,2,2609,79.68,https://magiceden.io/item-details/4Bj5Siw3ykejRMUcE6261Epk9Gri85vXidQbXBAvrBvi,None,Yellow,Top Hoops (Double | Gold),None,Swirl,None,Big,None,Oversized Hoodie (Pink),Grey,None
4193,3,1172,80.04,https://magiceden.io/item-details/A2rTwEPSKGXmFUEpYpvcsP51cxocB8AeSMBvnVSHwYK9,None,Cream,None,None,Small Round (Black | Rose Gold),Snapback Backwards (Red),None,None,Lumberjack Shirt (Cream),White Marble,Cross
4199,2,2355,81.51,https://magiceden.io/item-details/6iXj3BWzKLp1BUzs8M7SCpUrJPJ2LbuynXe5pBtjDvtG,None,White,Top Hoops (Double | Gold),None,Small Round (Black | Gold),Snapback Backwards (Black),None,None,T-Shirt (White | Palm Tree Print),Pink,None
4219,2.169,5495,57.2,https://magiceden.io/item-details/8vtZijSr78pshetfZdTJsJuFDgUx7Gbk7ov8En7Pf5JF,None,White,None,None,None,None,Small,None,T-Shirt (White | Rose Print),Orange,None
4263,3,3000,66.87,https://magiceden.io/item-details/EwePwQQMZc9ZfrgLjBzMCZUSeGvhbBvsB3T12fY6EhEM,None,Mint,Big Hoops (Double | Silver),None,Swirl,None,Small,None,Lumberjack Shirt (Cream),Concrete,None
4265,2.6,4822,57.74,https://magiceden.io/item-details/GyD8NdY1x32vUJP6drfjDnbYCTpVxFVs58tz2rebcKBh,None,Black,None,None,X,None,Curved,None,Polo Shirt (White | Blue),Blue Rubber,None
4273,3.2,3469,61.49,https://magiceden.io/item-details/8Arox5oDk8n83K14tCbVHNcq8cAfpCVNbP2yKqRaUdJF,None,Black,Cross (Silver),Dragon Wings (Black),Happy,None,Small,None,Oversized T-Shirt (Purple),Grey,None
4276,3.05,3953,59.5,https://magiceden.io/item-details/4hKKiAwLsfRq4YDDdVz2qJmoCacB9pApuMrF3ajxjQjz,None,Mint,None,None,Ski Goggles (Gradient Light),None,Big,None,T-Shirt (White | Lion Print),Mint,None
4280,2.29,1527,84.58,https://magiceden.io/item-details/DCnpV7GqpZaabbdgZ7Yoy3b1jDVpNHAt8XUivsD7s2YL,None,Blue,Diamond Hoops (Double | Gold),None,Vintage Rimless (Red),Dad Hat (Black),None,None,Hoodie (Blue),Grey,None
4311,2.55,1592,81.51,https://magiceden.io/item-details/FczEJ6fers8GPH6K7WdaJLU19dMAdDCcdGbQAEFUUVwm,None,White,Safety Pin (Gold),None,Ski Goggles (Black | Silver),None,Small,None,Oversized Hoodie (Red),White Marble,Pain
4315,2.86,1340,80.23,https://magiceden.io/item-details/2Kmtdrdya7z89p1ABrwWH2PWHjeX29gf3d8a2xtbe3Ks,None,Cream,Diamond Hoops (Single | Silver),None,Small Round (Black | Rose Gold),Five Panel Cap (Black),None,None,Puffer Jacket (White),Silver,None
4326,2.75,1084,83.17,https://magiceden.io/item-details/GgrfyUWgqk2dcDYWSoqQaKG2vsJpDiy3NjoPEK2MwZUW,None,Mint,Big Hoops (Double | Silver),None,Normal,Crown (Black),None,None,Windbreaker (Pink),Yellow,None
4332,2.77,5346,52.26,https://magiceden.io/item-details/2rP3SC3oZMR41SzxwimD4NzgBZTLrHEr47ZxtmPW5xWR,None,Cream,None,None,Swirl,None,Big,None,Hoodie (Black Drip Lightning Print),Black,None
4342,2.1,3131,74.92,https://magiceden.io/item-details/HCHy7XXDPN4PTBAecdztrhoc2EDt2CS7BNWW2rbdWjdS,None,Black,None,None,Beachrunner (Grey),Dad Hat (White),None,None,T-Shirt with Pullover (Purple),Pink,None
4348,2.99,4131,58.82,https://magiceden.io/item-details/CLYBkY1odJs3uMzuYui9irimZ4mnjt5MuukHgWyuy7SC,None,Black,None,None,None,None,Curved,Puffer Jacket Necklace USB (Gold),Puffer Jacket (Monster Print),White,None
4357,2.4,5285,56.4,https://magiceden.io/item-details/94ZyRDnmk1PZoSzhqZGvrSqMyt9k5jYBbmCnhR9hJJwk,None,Cream,None,None,Normal,None,Big,None,Lumberjack Shirt (White),Grey,None
4370,3.3,2490,67.54,https://magiceden.io/item-details/CLUefhZdgfbqrpuKvkLFvA4g2pkhAiSkNBBBwyP4ipbQ,None,Blue,Safety Pin (Silver),Angel Wings (Black),Beachrunner (Grey),None,Small,None,T-Shirt (Red),Black,None
4378,2.95,685,84.04,https://magiceden.io/item-details/Cgm4PnucnrG7N351K4QsbEJv3SaRXQ3aPwjotPYyyjim,One Arm Backpack (Silver),Black,None,Dragon Wings (Silver),Happy,Snapback Backwards (Blue),None,None,T-Shirt (Black | Lion Print),White,None
4389,2.6,4886,57.28,https://magiceden.io/item-details/BRuv1MzgCsLzAYXhVNMwrEDtad122mEPMTSohckS64U4,None,Yellow,None,None,Happy,None,Big,None,Oversized T-Shirt (Pink),Red,None
4426,4.88,1977,55.44,https://solanart.io/nft/HrXH7bgsprhtJwL9RtmST82xmY1VW6LngGyvRLpa49KQ,One Arm Backpack (Silver),Cream,None,None,Viper Shades (Orange),None,Small,None,Hoodie (White Lightning Metal Print),White,None
