id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
3713,12.15,3174,58.91,https://magiceden.io/item-details/J8rxqXnfmiVTJPZd2mothm54Ye37RicLbZh9aujHf9Yy,Blue,,Raised,Cap Dark,Blep,Turtleneck Orange,Natural
3767,12,5209,49.84,https://magiceden.io/item-details/AjSQvT2i5jKFg3YKCvBHL2dEBs3cckSVYeuys2BxaRea,Amaranth,,Thug,Cap Blue,Smirk,Scarf Purple,Natural
3821,13.4,3634,44.02,https://magiceden.io/item-details/C2wa1cGMuPghp4d8GTRFrnSHEjXABNh8tYCTvM6tUWdB,Pink,,Scar,Backwards Cap Blue,Grin,Shirt Flannel Green,Natural
3826,14.5,1720,42.97,https://magiceden.io/item-details/5zwACMog3BRgCUJKFsqbRkUmZQgezXFeo4MR49hHnL4,Mint,,Raised,Headset,Fangs,Shirt Flannel Red,Natural
3862,22,208,0,https://solanart.io/nft/8yx6wvcq7fpK7priXgzf3asduFPyfuQdToaXtXtkdf5J,Amaranth,,Thug,Afro,Drool,Armor Light,Natural
3872,25,1370,0,https://solanart.io/nft/4JqJGFF7wud4KSb9CFmZN7yNJMEX3yy2nybyEXVoD1qq,Rose,,Jaded,Viking Light,Closed,Hoodie Green,Natural
3995,13,5685,37.37,https://magiceden.io/item-details/5M4oZfd7a1Ab1andty8VTSA3bPvbu2BUu6KQGoFr5GjJ,Orange,,Wink,Bowler Light,Smirk,Scarf Striped,Natural
4007,12,2702,62.87,https://magiceden.io/item-details/91vaKVrhh8mB1wmL5jWL8bSKvWqFFYqAVdgxYgqrivjy,Pink,,Mutated,Cap Indigo,Grin,Tank Top Purple,Natural
4039,10.99,3452,69.07,https://magiceden.io/item-details/BQZu988pUCDHMA7qN7tgyUpPnpJbYhiEhLvER3z7hGTY,Champagne,,Angry,Backwards Cap Camo,Fangs,Turtleneck Green,Natural
4114,10.5,6575,57.75,https://magiceden.io/item-details/D3fMWpwDRB3nFq8yUYV5JphGzizpbqvSY8bqhCbcP6oX,Violet,,Jaded,Cap Pink,Smirk,Hoodie Green,Natural
4146,12,5126,50.27,https://magiceden.io/item-details/BpwBDwesnC9oFfodUFfpuCguyz7df5TiTjg92wPeovGv,Champagne,,Wink,Bowler Dark,Blep,Shirt Flannel Yellow,Natural
4241,15.1,1798,36.56,https://solanart.io/nft/7tmPJCeNrjBiHEghsNZM3AA85MAHungia8gwbqMTdTiV,Rose,,Solana,Sportsband,Closed,Sweater Light,Natural
4257,12.3,6826,38.44,https://magiceden.io/item-details/CggXWChBtqnAqCi2d1UVyh2ge3ErFmXUFzSQgsykVfGz,Blue,,Standard,Bucket Hat Ivory,Smug,Hoodie Green,Natural
4259,12.7,4163,48.28,https://magiceden.io/item-details/25bM7Bxc9tDhdM2e97smqdeDukKFpanK4GmW4kbkPbzN,Orange,,Sleepy,Headband White,Smug,Scarf Red,Natural
4284,100,40,0,https://solanart.io/nft/HarwgoWnYHnn1LbCpMFtRfZSPbqffQMyY3281E74BLYm,Green,,Mutated,Crown,Blep,Astronaut Orange,Natural
4323,13,1838,57.35,https://magiceden.io/item-details/6HV99JWJxRAnmeFTM8zwZriDV18AKkzQDE1hf44dTBUz,Persimmon,,Synth,Valet,Smile,Scarf Red,Natural
4353,35,1467,0,https://solanart.io/nft/HwEkaVZ38Bcxf3HHbHmzuuCeUY2UZhtGitbX5dL86Fri,Green,,Thug,Valet,Blep,T-Shirt Yellow,Natural
4357,14,6783,21.67,https://magiceden.io/item-details/FyQubPTEvD8Yagq3dNaN6vTsEF2r6iHqjF6Urh1NsDNb,Purple,,Jaded,Backwards Cap Pink,Smug,Shirt Flannel Yellow,Natural
4375,13.69,2138,48.89,https://magiceden.io/item-details/FN1xaQf938CnJUC6BHJUHWdxHD7eFxEiEZudigxnmp7t,Emerald,,Eye Patch,Bowler Dark,Grin,Sweater Dark,Natural
4385,10.1,5848,65.52,https://magiceden.io/item-details/CyyeoEHYcrdCraxXDjnWQ7ovzx3JMWduCCwGpD56Rqu5,Persimmon,,Wink,Sportsband,Blep,Tank Top Purple,Natural
4451,41,1238,0,https://solanart.io/nft/FPtBF5VjvYy9uc1LXHFBqZUyv8X3JdPthfAqVk78AbEF,Rose,,Blank,Bucket Hat Blue,Stache,Shirt Flannel Red,Natural
